SampleID	CPER_003-M-20140116
Gorilla	8
Gossypium	38
Gracilaria	96
Gracilariophila	1
Gracilariopsis	3
Gramella	15724
Granulibacter	18357
Granulicatella	1012
Granulicella	39730
Griffithsia	16
Grillotia	1
Grimmia	1
Griselinia	1
Grisollea	1
Grosmannia	483
Guignardia	1
Guillardia	100
Guizotia	1
Gunnera	1
Gymnochlora	2
Gymnodinium	1
Gymnopilus	1
Gyrinocheilus	3
Gyrodinium	1
Haemaphysalis	3
Haematobia	4
Haematococcus	6
Haemonchus	13
Haemophilus	5786
Haemoproteus	1
Hafnia	3
Hahella	17524
Haladaptatus	2931
Halalkalicoccus	2893
Halanaerobium	4955
Halarsenatibacter	1
Haliangium	77177
Haliclona	1
Halimeda	1
Haliotis	22
Haliphthoros	1
Halisarca	3
Haloarcula	4733
Halobacillus	36
Halobacterium	2955
Halochromatium	7
Halococcus	2
Halocynthia	3
Halocyphina	1
Haloferax	3027
Halogeometricum	3156
Halomicrobium	2291
Halomonas	5128
Haloquadratum	2943
Halorhabdus	2126
Halorhodospira	10761
Halorubrum	1812
Haloterrigena	4319
Halothermothrix	9179
Halothiobacillus	4096
Hamiota	1
Hanusia	1
Hapalosiphon	14
Haplochromis	1
Haplomitrium	3
Harmonia	2
Harpanthus	2
Harpegnathos	378
Harpochytrium	3
Hartmannella	187
Haslea	1
Haynesina	2
Hebeloma	4
Helianthemum	1
Helianthus	34
Helicobacter	5474
Heliconius	5
Helicosporidium	17
Helicoverpa	5
Heliobacillus	885
Heliobacterium	14138
Heliocidaris	2
Heliophilum	20
Heliophrya	1
Heliosperma	2
Heliothis	18
Helix	2
Helleria	1
Helobdella	1
Hemicentrotus	3
Hemimycena	1
Hemiselmis	9
Hemityphis	5
Herbaspirillum	13754
Herdmania	1
Herminiimonas	16112
Herpetomonas	1
Herpetosiphon	42357
Hesperostipa	1
Heterobasidion	2
Heterocapsa	21
Heterodera	16
Heterodontus	1
Heteromita	4
Heterosigma	42
Hevea	20
Hexagenia	1
Hexamita	1
Hiatella	1
Hilara	1
Himanthalia	1
Hippoglossus	3
Hippopodius	2
Hippospongia	1
Hirschia	4839
