SampleID	CPER_002-M-20130701
Hydrilla	1
Hydrogenivirga	1550
Hydrogenobacter	1121
Hydrogenobaculum	554
Hydrogenophaga	145
Hydrogenophilus	5
Hydrogenothermus	1
Hydrogenovibrio	1
Hydrolagus	1
Hydropunctaria	10
Hymenobacter	6
Hymenophyllum	1
Hymenoscyphus	1
Hyoscyamus	1
Hyperamoeba	3
Hyperthermus	716
Hyphomicrobium	4785
Hyphomonas	5711
Hypnea	1
Hypocrea	82
Hypocrella	1
Hypogastrura	1
I3-like viruses	49
Ichnanthus	1
Ichthyophis	2
Ictalurus	25
Ictidomys	1
Ideonella	1
Idiomarina	1796
Idiospermum	1
Ignicoccus	360
Ignisphaera	212
Iguana	1
Illicium	3
Ilyanassa	1
Ilyobacter	675
Ilyocoris	1
Ilyonectria	1
Imbribryum	4
Imtechium	2
Intrasporangium	12555
Ipomoea	9
Iridovirus	1
Isaria	4
Isatis	2
Ischadium	1
Isochrysis	5
Isoetes	5
Isoptericola	3
Isosphaera	15351
Ixodes	246
Jakoba	83
Janibacter	10371
Jannaschia	3510
Janthinobacterium	4150
Jasminum	3
Jatropha	1
Jeotgalibacillus	2
Jodina	1
Jonesia	2525
Jonquetella	607
Jungermannia	2
Juniperus	3
Junonia	1
Kaempferia	1
Kallichroma	1
Kangiella	1580
Karenia	29
Karlodinium	19
Kazachstania	2
Kempynus	1
Keteleeria	1
Ketogulonicigenium	1614
Kibdelosporangium	174
Kibramoa	1
Kineococcus	21691
Kinetoplastibacterium	8
Kingella	258
Kinyongia	1
Kitasatospora	9648
Kjikia	1
Klebsiella	2709
Klebsormidium	1
Kluyvera	11
Kluyveromyces	96
Kocuria	2535
Koerneria	1
Komagataella	83
Kordia	1198
Kosmotoga	1231
Kribbella	54801
Kryptoperidinium	10
Ktedonobacter	38010
Kuraishia	1
Kurthia	8
Kutzneria	43
Kyrpidia	6137
Kytococcus	4720
L5-like viruses	6
LUZ24-like viruses	1
Labrenzia	6968
Laccaria	346
Laceyella	2
Lachancea	59
Lacrymaria	1
Lactarius	27
Lactobacillus	8413
Lactococcus	1110
Lactuca	3
Laevapex	3
Lagenidium	1
Lama	1
Lambda-like viruses	23
Laminaria	9
Lampetra	1
Lampyris	1
Laphria	1
Laqueus	1
Laribacter	1575
Larix	3
Lasallia	15
Lathyrus	1
Latimeria	1
Latrodectus	1
Lautropia	738
Lawsonia	795
Leadbetterella	2777
Lecanactis	5
Lecanicillium	18
Lecanora	2
Lechevalieria	37
Leclercia	1
Leeuwenhoekiella	2638
Legionella	5736
Leifsonia	5733
Leishmania	215
Lemna	1
Lemur	1
Lentisphaera	1683
Lentzea	1
Leohumicola	45
Leotia	5
Lepeophtheirus	24
Lepilemur	1
Lepisosteus	3
Leptinotarsa	1
Leptochiton	2
Leptographium	3
Leptolyngbya	45
Leptosira	4
Leptosphaeria	1271
Leptospira	6650
Leptospirillum	2095
Leptothrix	4549
Leptotrichia	699
Leucaena	1
Leucanthiza	1
Leucoagaricus	39
Leucocoprinus	1
Leuconostoc	887
Leucosolenia	2
Leucosporidium	1
Leucostoma	121
Leucothoe	1
Leucothrix	2
Levenhookia	1
Libinia	1
Lilium	2
Limax	1
Limnanthes	1
Limnobacter	1233
Limnobdella	1
Linum	2
Liriomyza	2
Listeria	4539
Listonella	15
Lithospermum	4
Litopenaeus	3
Loa	69
Loasa	1
Lodderomyces	92
Loktanella	976
Lolium	4
Lotharella	1
Lotus	6
Loxodonta	2
Lucifuga	1
Lucilia	2
Luciola	9
Lupinus	9
Lutiella	2926
Lychas	1
Lycopodium	1
Lycorma	1
Lycosa	1
Lygistorrhina	1
Lygodium	1
Lymnaea	1
Lymphocryptovirus	1
Lymphocystivirus	1
Lyngbya	3125
Lysinibacillus	1514
Lysiphlebus	1
Lysobacter	53
Lytechinus	1
Macaca	356
Macavirus	1
Machiloides	1
Maconellicoccus	1
Macrobrachium	6
Macrococcus	410
Macropus	13
Macroscelides	1
Madracis	1
Maesopsis	1
Magnaporthe	2869
Magnetococcus	3748
Magnetospirillum	16835
Malassezia	119
Malawimonas	5
Malonomonas	2
Malus	5
Mamestra	1
Manduca	8
Mangifera	1
Manihot	1
Mannheimia	284
Marasmius	1
Marchantia	11
Maribacter	2842
Maricaulis	3169
Marichromatium	4
Marinitoga	1234
Marinobacter	7392
Marinomonas	2361
Marinosulfonomonas	3
Mariprofundus	1451
Maritimibacter	2201
Marivirga	2107
Marphysa	1
Martelella	3
Massalongia	121
Mastigamoeba	7
Mastigocladus	8
Mastigoproctus	2
Mayamaea	26
Mayetiola	2
Mazosia	1
Medicago	63
Megalodicopia	1
Megamonas	271
Meganyctiphanes	1
Megasphaera	755
Meiothermus	13279
Melampsora	1
Melanohalea	5
Melanotaenia	1
Melanthalia	1
Meleagris	1
Melissococcus	1
Melitoma	2
Melittangium	41
Meloidogyne	12
Menegazzia	46
Mentha	6
Merluccius	1
Merxmuellera	761
Mesembryanthemum	5
Mesocricetus	13
Mesoplasma	94
Mesorhizobium	42679
Mesostigma	47
Metacordyceps	2
Metallosphaera	467
Metarhizium	1299
Metaxya	1
Methanobacterium	2
Methanobrevibacter	520
Methanocaldococcus	1560
Methanocella	1175
Methanococcoides	725
Methanococcus	1195
Methanocorpusculum	432
Methanoculleus	1869
Methanohalobium	440
Methanohalophilus	493
Methanolobus	1
Methanoplanus	338
Methanopyrus	941
Methanoregula	1492
Methanosaeta	1359
Methanosarcina	7463
Methanosphaera	345
Methanosphaerula	1249
Methanospirillum	1759
Methanothermobacter	2031
Methanothermococcus	104
Methanothermus	227
Methylacidiphilum	10216
Methylibium	6336
Methylobacillus	3094
Methylobacter	3820
Methylobacterium	53186
Methylocaldum	1
Methylocapsa	3
Methylocella	7029
Methylococcus	6390
Methylocystis	3279
Methylomicrobium	3
Methylomonas	17
Methylophaga	655
Methylophilus	59
Methylosinus	4797
Methylosulfonomonas	18
Methylotenera	2164
Methyloversatilis	31
Methylovorus	1864
Methylovulum	1
Metridium	2
Metschnikowia	1
Meyerozyma	113
Micavibrio	4
Microbacterium	228
Microbispora	49
Microbulbifer	1
Microchaete	77
Micrococcus	3533
Microcoleus	5914
Microcystis	4462
Microlunatus	5
Micromonas	558
Micromonospora	93425
Microscilla	3480
Microstroma	2
Microtetraspora	1
Microthyrium	34
Microtus	2
Milnesium	3
Mimivirus	14
Mimocalanus	1
Misgolas	1
Mitsukurina	1
Mitsuokella	1109
Mobiluncus	2353
Momordica	1
Monacrosporium	2
Monascus	3
Monilinia	8
Moniliophthora	193
Monoblepharella	17
Monocelis	1
Monocercomonoides	9
Monodelphis	541
Monomastix	3
Monosiga	332
Monsonia	1
Montastraea	1
Moorella	9942
Moraxella	222
Morganella	9
Morinda	1
Moritella	552
Mortierella	10
Mu-like viruses	1
Mucilaginibacter	5287
Mucor	19
Mugil	1
Munkovalsaria	1
Murchisonella	1
Murina	1
Murraya	1
Mus	1234
Musa	14
Musca	2
Mycetocola	3
Mychonastes	2
Mycobacterium	201934
Mycoplana	20
Mycoplasma	879
Mycosphaerella	15
Myctophum	1
Myospila	1
Myotis	8
Myroides	6
Myrothecium	47
Mytilus	7
Myxine	1
Myxococcus	43002
Myxotrichum	4
Myxozyma	176
Myzostoma	3
N4-like viruses	1
Naegleria	423
Naja	1
Nakamurella	28673
Nakaseomyces	139
Nannochloris	1
Nannochloropsis	1
Nannocystis	6
Nanoarchaeum	48
Narceus	2
